name,location,price,capacity,rating,reviews,description
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"An urban oasis nestled in the heart of Midtown, offering lush lawns and tropical foliage for weddings."
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,An industrial-chic venue perfect for creative couples looking for a unique wedding space.
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,A charming and inviting private event space with historic charm and natural light.
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,$$,251-300 Guests,4.7,132,"Overlooks Piedmont Park, offering indoor and outdoor spaces with city skylines and seasonal colors."
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,3,"A wedding venue led by Chef Vincent Marra, creating dream wedding experiences in South Downtown Atlanta."
Grana,"Atlanta, GA",$$,151-200 Guests,5,1,Offers authentic Southern Italian cuisine in a warm and inviting setting with three levels of event space.
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,"A unique wedding venue built in 1910, offering a historic and creative space for events."
FORTH Hotel Atlanta,Georgia,$$$$,201-250 Guests,0,0,A luxury venue in Old Fourth Ward with an elegant ballroom and rooftop views.
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,"Surrounded by landscaped gardens, offering captivating views of nature's beauty for weddings."
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,100,A full-service wedding venue with outstanding staff to create memorable events.
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,0,0,"An elegant restaurant venue in Buckhead, perfect for weddings and bridal events."
The Kimpton Shane,Atlanta,$$$,51-100 Guests,0,0,A boutique hotel with stunning architecture and stylish furnishings for intimate weddings.
The White Bull,"Decatur, GA",$$,51-100 Guests,0,0,A restaurant venue specializing in Italian farm-to-table cuisine with an event space.
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,"An elegant venue with unique surroundings, close to Hartsfield International Airport."
Swan Coach House,"Atlanta, GA",$$,101-150 Guests,5,7,A historic and elegant wedding venue in the residential heart of Buckhead.
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,92,A premier wedding venue with an elegant courtroom and historic charm.
Renaissance Atlanta Midtown Hotel,Midtown Atlanta,$$$,300+ Guests,5,2,"Located in the arts and music district, offering a prime location for weddings."
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,"A Victorian-era home in Midtown, a destination for weddings for nearly a century."
SCAD Ivy Hall,Georgia,$$,101-150 Guests,4.5,4,A historic wedding venue designed by renowned architect Gottfried L. Norrman.
Epicurean Hotel Atlanta,"Atlanta, GA",$$$,101-150 Guests,5,3,A luxe and lavish wedding venue with sleek modern architecture.
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,A unique wedding venue with a century-long legacy in Druid Hills neighborhood.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,8,"Combines classic charm with modern luxury, designed to inspire awe."
Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5,9,A historic mansion with Victorian-era architecture in the heart of Atlanta.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,A luxurious venue with Southern charm in a prestigious neighborhood.
